Nama Kapal,Eks Nama Kapal,Call Sign,Jenis Kapal,Nama Pemilik,No. Tanda Pendaftaran,Panjang,Lebar,Dalam,LOA,GT,Isi Bersih,Nomor IMO,Tahun Pembuatan
HABCO POLARIS,TRANS FRIENDSHIP II,YCVM2,Bulk Carrier,PT HABCO TRANS MARITIMA,2019 IIa No. 4069/L,169.02,28.2,14.2,177.5,19994,11158,9487055,2008.0
HABCO PIONEER,IVS SHIKRA,YCMR2,Bulk Carrier,PT HABCO TRANS MARITIMA,2019 IIa No. 3949/L,163.8,27.0,13.8,170.7,17979,10934,9370329,2004.0
HABCO CARINA,QATAR SPIRIT EKS KAVO PLATANOS,YDHC2,Bulk Carrier,PT HABCO TRANS MARITIMA,2021 Pst No. 794/L,185.65,32.26,18.0,189.99,32957,19231,9497866,2007.0
JKW MAHAKAM 7,OCEANLINE 286,YDB6793,Tug Boat,PT PELITA SAMUDERA SHIPPING,2019 IIk No. 8563/L,28.04,9.0,4.3,30.1,287,87,,
RATU MAHAKAM,,PNRQ,Crane Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6539/L,105.6,27.5,7.0,105.6,6522,1957,,
BEN GLORY,DANIEL,YBLA2,Floating Crane Barge,PT PELITA SAMUDERA SHIPPING,2007 Pst No. 4526/L,72.0,23.0,4.25,75.0,2315,695,,
STRAITS PHOENIX,,YDRN2,Barge,PT PELITA SAMUDERA SHIPPING,2009 GGa No. 6100/L,72.67,24.5,5.4,75.7,3320,996,,
JKW MAHAKAM 5,PU 2010,YDB 6699,Tug Boat,PT PELITA SAMUDERA SHIPPING,2017 IIk No. 8196/L,28.08,9.0,4.27,30.1,266,78,9512094,
JKW MAHAKAM 2,PU 2413,YDB 6693,Tug Boat,PT PELITA SAMUDERA SHIPPING,2017 IIk No. 8195/L,27.09,8.6,4.12,29.0,248,75,9512795,
JKW MAHAKAM 6,PU 2414,YDB 6697,Tug Boat,PT PELITA SAMUDERA SHIPPING,2017 IIk No. 8197/L,27.09,8.6,4.12,29.0,248,75,9512800,
DEWI IRIANA 3,PU 3309,-,Barge,PT PELITA SAMUDERA SHIPPING,2017 IIk No. 8205/L,96.27,26.16,6.1,100.05,4065,1220,-,
DEWI CITRAWATI,KARYA ENERGY - 09,YBD 6391,Tug Boat,PT PELITA SAMUDERA SHIPPING,2014 IIk No. 7025/L,23.45,7.0,3.4,24.99,162,49,8699364,
RATU DEWATA,,YBKX2,Barge,PT PELITA SAMUDERA SHIPPING,2009 Pst No. 5892/L,105.35,27.5,7.0,110.02,6404,1922,,
INTAN KELANA 20,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6146/L,87.86,24.4,5.5,91.52,3141,943,,2006.0
INTAN KELANA 19,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6145/L,87.86,24.4,5.5,91.52,3141,943,,2006.0
INTAN KELANA 18,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6197/L,87.84,24.4,5.5,87.84,3241,973,,2006.0
INTAN KELANA 17,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6196/L,87.84,24.4,5.5,87.84,3241,973,,2006.0
INTAN KELANA 16,,,Barge,PT PELITA SAMUDERA SHIPPING,2009 Pst No. 5893/L,87.78,24.38,5.49,91.46,3102,931,,2006.0
JKW PELITA 1,,YDC4332,Tug Boat,PT PELITA SAMUDERA SHIPPING,2021 Pst No. 902/L,25.01,8.2,4.0,27.0,213,64,9940722,2021.0
INTAN KELANA 12,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6195/L,87.84,24.4,5.5,87.84,3241,973,,2005.0
INTAN KELANA 8,,,Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6133/L,87.86,24.4,5.5,87.86,3141,943,,2005.0
INTAN KELANA 13,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6134/L,87.86,24.4,5.5,91.52,3141,943,,2005.0
INTAN KELANA 15,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6135/L,87.78,24.38,5.48,91.46,3092,928,,2006.0
INTAN KELANA 7,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6156/L,87.84,24.4,5.5,91.5,3241,973,,2005.0
INTAN KELANA 6,,,Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6155/L,87.84,24.4,5.5,91.5,3241,973,,2005.0
INTAN KELANA 5,,,Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6154/L,87.84,24.4,5.5,91.5,3241,973,,2005.0
INTAN KELANA 4,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6153/L,87.84,24.4,5.5,91.5,3241,973,,2005.0
INTAN KELANA 1,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2008 Pst No. 5008/L,87.78,24.38,5.49,87.78,3091,928,,2005.0
INTAN KELANA 11,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6194/L,87.84,24.4,5.5,87.84,3241,973,,2005.0
INTAN MEGAH 25,,YDA 4513,Tug Boat,PT PELITA SAMUDERA SHIPPING,2009 Pst No. 5891/L,25.75,8.6,4.3,25.75,251,76,9430088,2007.0
INTAN KELANA 10,,,Deck Barge,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6143/L,87.86,24.4,5.5,91.52,3141,943,,2006.0
INTAN MEGAH 22,,YDA4555,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6152/L,26.03,8.6,4.3,28.05,267,81,9413274,2006.0
INTAN MEGAH 21,,YDA4589,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6191/L,26.03,8.6,4.3,26.03,265,80,9413262,2006.0
INTAN MEGAH 26,,YDA 4590,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6192/L,26.03,8.6,4.3,27.81,265,80,9430076,2007.0
INTAN MEGAH 20,,YDA 4571,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6142/L,27.39,9.0,4.4,28.97,262,79,9414620,2006.0
INTAN MEGAH 19,,YDA 4570,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6141/L,27.39,9.0,4.4,28.97,262,79,9414618,2006.0
INTAN MEGAH 18,,YDA 4569,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6140/L,27.39,9.0,4.4,28.97,262,79,9414606,2006.0
INTAN MEGAH 16,,YDA 4560,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6129/L,27.39,9.0,4.4,28.97,262,79,9414589,2006.0
INTAN MEGAH 15,,YDA 4558,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6128/L,27.39,9.0,4.4,27.39,262,79,9414577,2006.0
INTAN MEGAH 14,,YDA 4592,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6190/L,26.0,9.0,4.1,26.0,218,66,9386627,2005.0
INTAN MEGAH 13,,YDA 4559,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6127/L,26.0,9.0,4.3,27.59,225,68,9386615,2005.0
INTAN MEGAH 12,,YDA 4568,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6139/L,26.0,9.0,4.3,27.59,227,69,9386603,2005.0
INTAN MEGAH 10,,YDA4554,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6151/L,26.0,9.0,410.0,28.2,217,66,9386586,2005.0
INTAN MEGAH 4,,YDA 4573,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6185/L,26.03,8.6,4.3,26.03,267,81,9383742,2005.0
INTAN MEGAH 2,,YDA 4572,Tug Boat,PT PELITA SAMUDERA SHIPPING,2010 Pst No. 6184/L,26.03,8.6,4.3,26.03,267,81,9367463,2004.0
